activation_function,slope,intercept,r2_score,mse,rmse,correlation,p_value
binary,1.7812963197301423e-05,0.8965019368738802,0.22792237158880213,0.005628050512647032,0.07502033399450467,0.47741216112370005,1.9453714257464205e-12
elu,2.2107090071109212e-05,0.9225080232599673,0.2066966277877733,0.00982156516606531,0.09910381004817781,0.45463900821176045,2.7543720311301353e-11
leaky,2.1984796834345026e-05,0.9132072491489892,0.21283848799982297,0.009359878933990352,0.0967464672946271,0.46134421856117686,1.2879744170311251e-11
linear,2.2506955760298762e-05,0.9097918135990146,0.22718980464280814,0.009022546965203103,0.09498708841312646,0.4766443167004181,2.1340878450073113e-12
parametric,2.2673725272951608e-05,0.9148348269175511,0.21450800349189003,0.009857247381571857,0.09928367127363823,0.46315008743590896,1.0465628472653508e-11
relu,2.1460104570531733e-05,0.9128437734718053,0.21194539805595147,0.00896618340063134,0.0946899329423743,0.4603752795882414,1.4389830694416965e-11
selu,2.29708254874357e-05,0.9232643861235008,0.22050648531312356,0.009766882794452422,0.0988275406678342,0.469581180748466,4.947986290124522e-12
sigmoid,2.683898985910889e-05,0.9385837840830034,0.20605204838280244,0.014533126734576442,0.12055341859348677,0.45392956323949885,2.9821682844943064e-11
tanh,2.2004850005067324e-05,0.9110029633729428,0.22458244319861054,0.00875403512656194,0.09356300084200987,0.4739013011151274,2.965110272678374e-12
